Source_orig,Target_orig,Source,Target
RPHA-0718,RPHA-1261,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0723,RPHA-3002,Bogáti Fazakas Miklós,Huszti Péter
RPHA-0725,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0726,RPHA-3020,Balassi Bálint,Dobó Jakab
RPHA-0743,RPHA-1245,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0743,RPHA-1244,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0767,RPHA-1189,Bogáti Fazakas Miklós,Kákonyi Péter
RPHA-0767,RPHA-1013,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0975,RPHA-0774,Petrus,Huszár Gál
RPHA-1421,RPHA-0782,Bogáti Fazakas Miklós,Gálszécsi István
RPHA-0794,RPHA-0786,Batizi András,Batizi András
RPHA-1483,RPHA-0794,Bogáti Fazakas Miklós,Batizi András
RPHA-1335,RPHA-0822,Alistáli Márton,Szeremlyéni Mihály
RPHA-0931,RPHA-0822,Bogáti Fazakas Miklós,Szeremlyéni Mihály
RPHA-0825,RPHA-1300,Ládonyi Sára,Szegedi Gergely
RPHA-1110,RPHA-0825,Pap Benedek,Ládonyi Sára
RPHA-0827,RPHA-3002,Bogáti Fazakas Miklós,Huszti Péter
RPHA-0827,RPHA-1280,Bogáti Fazakas Miklós,Szkhárosi Horvát András
RPHA-0831,RPHA-3002,Vajdakamarási Lőrinc,Huszti Péter
RPHA-1383,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
RPHA-1256,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
RPHA-1253,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
RPHA-0548,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
RPHA-0840,RPHA-0894,Sarlóközi Névtelen,Sztárai Mihály
RPHA-0848,RPHA-1428,Dobokai Mihály,Újlaki Péter
